Name,Population
Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),515
A. Bonifacio-Caguioa-Rimando (ABCR),986
Alfonso Tabora,1462
Ambiong,2477
Andres Bonifacio (Lower Bokawkan),1226
Apugan-Loakan,2599
Asin Road,11454
Atok Trail,1516
Aurora Hill North Central,472
Aurora Hill Proper (Malvar-Sgt. Floresca),819
Aurora Hill South Central,1142
Bagong Lipunan (Market Area),10
Bakakeng Central,7695
Bakakeng North,8542
Bal-Marcoville (Marcoville),660
Balsigan,2547
Bayan Park East,1151
Bayan Park Village,848
Bayan Park West (Bayan Park),1763
BGH Compound,1468
Brookside,1965
Brookspoint,2299
Cabinet Hill-Teacher's Camp,3297
Camdas Subdivision,1401
Camp 7,9726
Camp 8,2665
Camp Allen,2196
Campo Filipino,1738
City Camp Central,2009
City Camp Proper,2013
Country Club Village,1972
Cresencia Village,1504
Dagsian Lower,1159
Dagsian Upper,637
Dizon Subdivision,1770
Dominican Hill-Mirador,4035
Dontogan,4579
DPS Area,1029
Engineers' Hill,2102
Fairview Village,7409
Ferdinand (Happy Homes-Campo Sioco),1665
Fort del Pilar,3331
Gabriela Silang,2899
General Emilio F. Aguinaldo (Lower Quirino-Magsaysay),2126
General Luna Lower,673
General Luna Upper,941
Gibraltar,7066
Greenwater Village,1728
Guisad Central,1919
Guisad Sorong,1749
Happy Hollow,2157
Happy Homes (Happy Homes-Lucban),1433
Harrison-Claudio Carantes,291
Hillside,1539
Holy Ghost Extension,2993
Holy Ghost Proper,2046
Honeymoon (Honeymoon-Holy Ghost),3314
Imelda R. Marcos (La Salle),1022
Imelda Village,1314
Irisan,28357
Kabayanihan,141
Kagitingan,471
Kayang Extension,1222
Kayang-Hilltop,1136
Kias,5247
Legarda-Burnham-Kisad,968
Liwanag-Loakan,3316
Loakan Proper,9158
Lopez Jaena,1370
Lourdes Subdivision Extension,1093
Lourdes Subdivision Lower,192
Lourdes Subdivision Proper,788
Lualhati,984
Lucnab,1866
Magsaysay Lower,528
Magsaysay Private Road,1065
Magsaysay Upper,104
Malcolm Square-Perfecto (Jose Abad Santos),73
Manuel A. Roxas,746
Market Subdivision Upper,1035
Middle Quezon Hill Subdivision (Quezon Hill Middle),3388
Military Cut-off,1786
Mines View Park,1392
Modern Site East,2749
Modern Site West,1137
MRR-Queen of Peace,1740
New Lucban,2286
Outlook Drive,1735
Pacdal,5441
Padre Burgos,3188
Padre Zamora,2257
Palma-Urbano (Cari�o-Palma),1144
Phil-Am,402
Pinget,6669
Pinsao Pilot Project,3521
Pinsao Proper,5257
Poliwes,3658
Pucsusan,676
Quezon Hill Proper,1200
Quezon Hill Upper,2344
Quirino Hill East,3020
Quirino Hill Lower,1932
Quirino Hill Middle,2544
Quirino Hill West,1740
Quirino-Magsaysay Upper (Upper QM),2432
Rizal Monument Area,68
Rock Quarry Lower,1518
Rock Quarry Middle,1251
Rock Quarry Upper,1818
Saint Joseph Village,3785
Salud Mitra,1065
San Antonio Village,1401
Sanitary Camp North,2668
Sanitary Camp South,1473
San Luis Village,7199
San Roque Village,700
Santa Escolastica,1400
Santo Rosario,2230
Santo Tomas Proper,5640
Santo Tomas School Area,1109
San Vicente,4574
Scout Barrio,1276
Session Road Area,85
Slaughter House Area (Santo Ni�o Slaughter),2249
SLU-SVP Housing Village,1851
South Drive,373
Teodora Alonzo,1201
Trancoville,2197
Victoria Village,2984
