Name,Population
Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),666
A. Bonifacio-Caguioa-Rimando (ABCR),685
Alfonso Tabora,1524
Ambiong,3321
Andres Bonifacio (Lower Bokawkan),1086
Apugan-Loakan,2906
Asin Road,13823
Atok Trail,1933
Aurora Hill North Central,377
Aurora Hill Proper (Malvar-Sgt. Floresca),728
Aurora Hill South Central,1053
Bagong Lipunan (Market Area),28
Bakakeng Central,13092
Bakakeng North,10867
Bal-Marcoville (Marcoville),768
Balsigan,2492
Bayan Park East,1099
Bayan Park Village,644
Bayan Park West (Bayan Park),1478
BGH Compound,1860
Brookside,1804
Brookspoint,2112
Cabinet Hill-Teacher's Camp,3478
Camdas Subdivision,1547
Camp 7,13875
Camp 8,2638
Camp Allen,2330
Campo Filipino,1298
City Camp Central,1722
City Camp Proper,1678
Country Club Village,1762
Cresencia Village,1671
Dagsian Lower,1521
Dagsian Upper,643
Dizon Subdivision,1882
Dominican Hill-Mirador,4818
Dontogan,6366
DPS Area,953
Engineers' Hill,1762
Fairview Village,7984
Ferdinand (Happy Homes-Campo Sioco),1775
Fort del Pilar,3753
Gabriela Silang,2880
General Emilio F. Aguinaldo (Lower Quirino-Magsaysay),1960
General Luna Lower,134
General Luna Upper,1177
Gibraltar,8043
Greenwater Village,1571
Guisad Central,2499
Guisad Sorong,1677
Happy Hollow,2674
Happy Homes (Happy Homes-Lucban),1712
Harrison-Claudio Carantes,30
Hillside,1549
Holy Ghost Extension,2928
Holy Ghost Proper,2296
Honeymoon (Honeymoon-Holy Ghost),3308
Imelda R. Marcos (La Salle),1091
Imelda Village,1885
Irisan,36562
Kabayanihan,104
Kagitingan,189
Kayang Extension,1066
Kayang-Hilltop,443
Kias,6374
Legarda-Burnham-Kisad,711
Liwanag-Loakan,4841
Loakan Proper,12006
Lopez Jaena,1140
Lourdes Subdivision Extension,1451
Lourdes Subdivision Lower,422
Lourdes Subdivision Proper,657
Lualhati,1202
Lucnab,2206
Magsaysay Lower,1135
Magsaysay Private Road,927
Magsaysay Upper,68
Malcolm Square-Perfecto (Jose Abad Santos),63
Manuel A. Roxas,761
Market Subdivision Upper,1164
Middle Quezon Hill Subdivision (Quezon Hill Middle),3565
Military Cut-off,1332
Mines View Park,1517
Modern Site East,2458
Modern Site West,1300
MRR-Queen of Peace,1614
New Lucban,2070
Outlook Drive,2237
Pacdal,7012
Padre Burgos,2851
Padre Zamora,2390
Palma-Urbano (Cario-Palma),1089
Phil-Am,517
Pinget,7774
Pinsao Pilot Project,4763
Pinsao Proper,8361
Poliwes,2855
Pucsusan,685
Quezon Hill Proper,1375
Quezon Hill Upper,2646
Quirino Hill East,3497
Quirino Hill Lower,1998
Quirino Hill Middle,2777
Quirino Hill West,1792
Quirino-Magsaysay Upper (Upper QM),2243
Rizal Monument Area,195
Rock Quarry Lower,1646
Rock Quarry Middle,1680
Rock Quarry Upper,1539
Saint Joseph Village,3951
Salud Mitra,1344
San Antonio Village,1396
Sanitary Camp North,2636
Sanitary Camp South,2053
San Luis Village,8981
San Roque Village,991
Santa Escolastica,1794
Santo Rosario,1909
Santo Tomas Proper,7071
Santo Tomas School Area,1359
San Vicente,5316
Scout Barrio,1329
Session Road Area,125
Slaughter House Area (Santo Nio Slaughter),1952
SLU-SVP Housing Village,2393
South Drive,564
Teodora Alonzo,1125
Trancoville,2705
Victoria Village,2878
